from_id,course1,rel,course2,to_id
1,并行计算,先修,操作系统原理,41
1,并行计算,先修,计算机系统基础,39
1,并行计算,先修,数据结构,37
2,离散数学B,先修,离散数学,33
4,虚拟化技术与云计算,先修,数据结构,37
4,虚拟化技术与云计算,先修,计算机组成原理,12
4,虚拟化技术与云计算,先修,操作系统,1
5,形式语言与自动机,先修,程序设计原理,35
5,形式语言与自动机,先修,离散数学,33
5,形式语言与自动机,先修,数据结构,37
5,形式语言与自动机,先修,算法设计与分析,36
7,网络安全,先修,程序设计原理,35
8,软件工程,先修,操作系统原理,41
8,软件工程,先修,计算机网络,45
8,软件工程,先修,程序设计语言,67
8,软件工程,先修,算法与数据结构,36
8,软件工程,先修,数据库原理,44
10,图像处理（计算机）,先修,信号与系统,78
11,生物信息学,先修,算法分析与设计,43
11,生物信息学,先修,机器学习,72
12,计算机组成与体系结构,先修,数字逻辑与数字系统,43
12,计算机组成与体系结构,先修,计算机系统基础,39
13,量子信息与量子智能,先修,离散数学,33
14,自然语言处理基础,先修,统计分析基础,22
14,自然语言处理基础,先修,数据挖掘,9
15,异构计算,先修,并行计算,1
15,异构计算,先修,操作系统,1
15,异构计算,先修,数据结构,37
16,计算机图形学,先修,程序设计原理,35
17,编译原理技术,先修,汇编语言,20
18,软件体系结构,先修,软件工程,8
20,高等计算机体系结构,先修,计算机组成与体系结构,12
21,模式识别与深度学习,先修,离散数学,33
21,模式识别与深度学习,先修,概率论,19
22,统计分析基础,先修,生物信息学,11
22,统计分析基础,先修,数据挖掘,9
23,智能检索与问答,先修,统计分析基础,22
23,智能检索与问答,先修,数据挖掘,9
25,嵌入式系统（翻转）,先修,数字逻辑与数字系统,43
25,嵌入式系统（翻转）,先修,计算机系统基础,39
25,嵌入式系统（翻转）,先修,计算机组成与体系结构,12
26,智能计算系统,先修,数字逻辑与数字系统,43
27,物联网基础,先修,数字逻辑与数字系统,43
27,物联网基础,先修,数据结构,37
28,可信计算,先修,密码学原理与实践,91
28,可信计算,先修,计算机系统基础,39
28,可信计算,先修,计算机组成与体系结构,12
28,可信计算,先修,操作系统原理,41
28,可信计算,先修,信息安全数学基础,88
29,可视语言与信息可视化,先修,计算机图形学,16
30,知识图谱,先修,知识工程,75
31,计算机视觉技术,先修,图像处理,52
36,算法设计与分析,先修,数据结构,37
36,算法设计与分析,先修,计算机系统基础,39
36,算法设计与分析,先修,编译原理技术,17
37,数据结构,先修,离散数学,33
38,程序设计综合实践,先修,程序设计原理,35
39,计算机系统基础,先修,程序设计原理,35
40,计算机系统综合实践,先修,程序设计原理,35
40,计算机系统综合实践,先修,数据结构,37
40,计算机系统综合实践,先修,计算机系统基础,39
41,操作系统原理,先修,程序设计原理,35
41,操作系统原理,先修,数据结构,37
41,操作系统原理,先修,计算机系统基础,39
44,数据库原理,先修,程序设计原理,35
44,数据库原理,先修,离散数学,33
44,数据库原理,先修,数据结构,37
44,数据库原理,先修,算法设计与分析,36
45,计算机网络,先修,程序设计语言,67
45,计算机网络,先修,数据结构,37
46,设计模式,先修,程序设计原理,35
46,设计模式,先修,面向对象程序设计,50
47,程序设计初级实践,先修,程序设计原理,35
47,程序设计初级实践,先修,数据结构,37
48,程序设计中级实践,先修,程序设计原理,35
49,程序设计高级实践,先修,程序设计原理,35
52,图像处理（软件工程）,先修,高等数学,20
52,图像处理（软件工程）,先修,线性代数,27
52,图像处理（软件工程）,先修,数据结构,37
56,软件工程1（双语）,先修,程序设计语言,67
56,软件工程1（双语）,先修,操作系统原理,41
56,软件工程1（双语）,先修,数据库原理,44
56,软件工程1（双语）,先修,计算机网络,45
58,形式化方法（双语）,先修,离散数学,33
59,软件测试技术,先修,软件工程,8
59,软件测试技术,先修,数据库原理,44
59,软件测试技术,先修,面向对象程序开发,50
60,计算机图形技术,先修,数据结构,37
61,软件项目管理（双语）,先修,软件工程,8
62,架构驱动的软件开发实践,先修,软件工程,8
62,架构驱动的软件开发实践,先修,操作系统原理,41
62,架构驱动的软件开发实践,先修,计算机网络,45
62,架构驱动的软件开发实践,先修,程序设计语言,67
62,架构驱动的软件开发实践,先修,算法设计与分析,36
62,架构驱动的软件开发实践,先修,数据结构,37
62,架构驱动的软件开发实践,先修,数据库原理,44
66,软件工程综合实践,先修,程序设计原理,35
66,软件工程综合实践,先修,数据结构,37
66,软件工程综合实践,先修,软件工程1（双语）,56
66,软件工程综合实践,先修,软件工程2（双语）,57
67,程序设计写作实践,先修,程序设计原理,35
67,程序设计写作实践,先修,软件工程,8
68,计算机视觉,先修,数据结构,37
68,计算机视觉,先修,图像处理,22
69,区块链技术,先修,计算机网络,45
72,机器学习,先修,数据结构,37
72,机器学习,先修,算法分析与设计,43
73,自然语言处理,先修,深度强化学习,65
75,知识工程,先修,离散数学,33
76,机器学习综合实践,先修,机器学习,72
76,机器学习综合实践,先修,数据结构,37
76,机器学习综合实践,先修,算法分析与设计,43
77,情感计算,先修,人工智能基础,6
77,情感计算,先修,概率与数理统计,19
77,情感计算,先修,程序设计原理,35
79,知识工程综合实践,先修,离散数学,33
79,知识工程综合实践,先修,程序设计,41
79,知识工程综合实践,先修,人工智能,51
79,知识工程综合实践,先修,知识工程,75
80,媒体计算,先修,线性代数,27
80,媒体计算,先修,数据结构,37
81,知识表示与推理,先修,离散数学,33
82,计算机视觉与模式识别,先修,机器学习,72
83,信息检索与智能问答,先修,深度强化学习,65
84,人工智能数据基础,先修,离散数学,33
85,逻辑与形式化方法,先修,离散数学,33
86,安全软件工程,先修,软件工程,8
86,安全软件工程,先修,信息系统安全,90
86,安全软件工程,先修,网络安全,7
87,网络安全综合设计,先修,程序设计原理,35
88,信息安全数学基础,先修,离散数学,33
89,网络协议分析与设计,先修,计算机网络,45
90,信息系统安全,先修,程序设计原理,35
91,密码学原理与实践,先修,信息安全数学基础,88
92,软件安全,先修,计算机组成与体系结构,12
93,密码学综合实践,先修,信息安全数学基础,88
94,逆向工程分析技术,先修,操作系统原理,41
94,逆向工程分析技术,先修,编译原理技术,17
95,物联网安全,先修,密码学原理与实践,91
95,物联网安全,先修,计算机网络,45
95,物联网安全,先修,信息安全数学基础,88
96,信息系统安全综合实践,先修,信息系统安全,90
97,项目制实践1,先修,程序设计原理,35
97,项目制实践1,先修,算法分析与设计,43
97,项目制实践1,先修,数据结构,37
98,项目制实践2,先修,程序设计原理,35
98,项目制实践2,先修,编译原理与技术,17
